                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2032,                 0.9606,                 1.3501,                0.86015,                0.84454,                0.89159,                0.52247,                 1.5021,                0.84398,                 1.7051,              0.0004555,              0.0004555,              0.0004555
                     36,                 1.2005,                 0.9484,                 1.3355,                0.82923,                0.86761,                0.88489,                0.48619,                 1.5373,                0.89913,                 1.7444,               0.000439,               0.000439,               0.000439
                     37,                 1.2107,                0.92775,                 1.3698,                0.89075,                0.83773,                0.88545,                0.50205,                 1.5592,                0.82582,                 1.7773,              0.0004225,              0.0004225,              0.0004225
                     38,                  1.235,                 0.9693,                 1.3784,                0.88838,                0.82478,                0.88457,                0.51423,                  1.487,                0.84501,                 1.7267,               0.000406,               0.000406,               0.000406
                     39,                 1.1672,                0.92277,                 1.3453,                0.84395,                0.81574,                0.86666,                0.49304,                 1.5377,                0.87027,                 1.7688,              0.0003895,              0.0003895,              0.0003895
                     40,                 1.1435,                0.89126,                 1.3411,                0.84619,                0.82195,                0.86151,                0.48565,                 1.5744,                  0.857,                 1.7712,               0.000373,               0.000373,               0.000373
                     41,                 1.1474,                 0.9053,                 1.3334,                0.83252,                0.81347,                 0.8572,                0.47523,                 1.5855,                0.91056,                 1.7976,              0.0003565,              0.0003565,              0.0003565
                     42,                 1.1362,                0.86419,                 1.3265,                0.87225,                  0.843,                0.87724,                 0.4845,                 1.6102,                0.90401,                 1.8025,                0.00034,                0.00034,                0.00034
                     43,                 1.1164,                0.87254,                 1.3225,                 0.8958,                 0.8593,                0.89221,                0.49094,                 1.6172,                0.80625,                 1.8379,              0.0003235,              0.0003235,              0.0003235
                     44,                 1.1056,                 0.8414,                 1.3013,                0.86993,                 0.8116,                0.87383,                0.49121,                 1.5658,                0.84799,                 1.7775,               0.000307,               0.000307,               0.000307
                     45,                 1.1129,                0.86747,                 1.3077,                0.88363,                0.83543,                0.87707,                0.49486,                 1.6314,                0.85628,                 1.8232,              0.0002905,              0.0002905,              0.0002905
                     46,                 1.0925,                0.86236,                  1.309,                0.89263,                0.85399,                0.90667,                0.51854,                 1.5858,                  0.816,                  1.801,               0.000274,               0.000274,               0.000274
                     47,                 1.1175,                0.83971,                  1.314,                0.90103,                0.83611,                0.90146,                0.50429,                 1.5673,                0.81491,                 1.7854,              0.0002575,              0.0002575,              0.0002575
                     48,                  1.067,                0.82006,                  1.289,                0.88261,                0.84047,                0.91462,                0.50778,                  1.558,                0.81419,                 1.7731,               0.000241,               0.000241,               0.000241
                     49,                 1.0561,                0.77614,                 1.2913,                0.84319,                 0.8605,                 0.9048,                0.52579,                  1.547,                0.80739,                 1.7655,              0.0002245,              0.0002245,              0.0002245
                     50,                 1.0519,                0.79958,                 1.2725,                0.88539,                0.83016,                0.89845,                0.51068,                 1.5502,                0.82316,                 1.7734,               0.000208,               0.000208,               0.000208
                     51,                 1.0117,                 0.6613,                  1.346,                0.84563,                0.86567,                0.88588,                0.50766,                 1.5849,                0.83216,                 1.8149,              0.0001915,              0.0001915,              0.0001915
                     52,                0.90813,                0.56057,                 1.2876,                 0.8954,                0.86412,                0.91387,                0.52696,                 1.5759,                0.77753,                 1.7779,               0.000175,               0.000175,               0.000175
                     53,                0.89097,                0.53878,                 1.2666,                0.91171,                0.85387,                0.91316,                 0.5023,                 1.6246,                0.76104,                 1.8344,              0.0001585,              0.0001585,              0.0001585
                     54,                0.86863,                0.52957,                 1.2325,                0.86876,                0.90336,                0.92308,                0.50677,                 1.5956,                0.81139,                 1.8231,               0.000142,               0.000142,               0.000142
                     55,                0.83438,                0.49319,                 1.2281,                0.88796,                0.88232,                0.91497,                 0.5188,                 1.5622,                0.78526,                  1.799,              0.0001255,              0.0001255,              0.0001255
                     56,                0.84651,                 0.4913,                 1.2289,                0.90789,                0.85375,                0.91112,                 0.5146,                 1.5677,                0.76262,                 1.8038,               0.000109,               0.000109,               0.000109
                     57,                  0.807,                0.47504,                 1.2049,                0.91202,                0.83129,                0.90009,                0.49842,                 1.5837,                0.75766,                 1.8277,               9.25e-05,               9.25e-05,               9.25e-05
                     58,                0.79884,                0.45296,                 1.1943,                0.89628,                 0.8355,                0.89478,                0.50713,                 1.6073,                0.77833,                 1.8783,                7.6e-05,                7.6e-05,                7.6e-05
                     59,                0.77657,                0.44615,                 1.1791,                0.88547,                0.83211,                0.89005,                0.50622,                 1.5975,                0.79332,                 1.8723,               5.95e-05,               5.95e-05,               5.95e-05
                     60,                0.76917,                 0.4441,                 1.1776,                0.90978,                0.80498,                 0.8906,                0.51284,                 1.5965,                0.79193,                 1.8684,                4.3e-05,                4.3e-05,                4.3e-05
